iter	Passed	Remaining
0	147	147823
1	150	75086
2	152	50674
3	154	38405
4	155	31021
5	157	26105
6	159	22591
7	161	19976
8	162	17918
9	164	16287
10	166	14947
11	167	13826
12	169	12882
13	171	12076
14	173	11377
15	175	10777
16	176	10233
17	178	9757
18	180	9321
19	182	8924
20	183	8572
21	185	8254
22	187	7964
23	189	7706
24	191	7458
25	192	7228
26	194	7018
27	196	6823
28	198	6633
29	199	6462
30	201	6307
31	203	6163
32	205	6026
33	207	5897
34	209	5777
35	211	5654
36	213	5544
37	214	5438
38	216	5337
39	218	5238
40	220	5145
41	221	5057
42	223	4975
43	225	4893
44	226	4816
45	228	4744
46	230	4674
47	232	4604
48	234	4549
49	236	4486
50	237	4426
51	239	4367
52	241	4310
53	243	4258
54	244	4207
55	246	4157
56	248	4113
57	250	4065
58	252	4020
59	253	3977
60	255	3934
61	257	3892
62	259	3853
63	261	3819
64	263	3785
65	264	3747
66	266	3711
67	267	3664
68	269	3630
69	270	3597
70	272	3566
71	274	3534
72	276	3506
73	278	3483
74	280	3455
75	281	3428
76	283	3400
77	285	3372
78	287	3346
79	288	3322
80	290	3299
81	293	3280
82	294	3256
83	296	3232
84	297	3203
85	299	3182
86	300	3154
87	302	3132
88	303	3110
89	305	3092
90	307	3075
91	309	3055
92	311	3035
93	313	3018
94	315	3002
95	317	2985
96	318	2967
97	320	2950
98	322	2935
99	324	2917
100	325	2900
101	326	2878
102	328	2863
103	330	2845
104	332	2830
105	333	2813
106	335	2799
107	337	2786
108	339	2772
109	341	2760
110	343	2748
111	344	2735
112	346	2720
113	348	2706
114	349	2692
115	351	2677
116	353	2669
117	355	2656
118	356	2641
119	358	2628
120	360	2616
121	361	2604
122	362	2587
123	364	2575
124	366	2564
125	368	2558
126	371	2552
127	372	2540
128	376	2539
129	378	2534
130	380	2523
131	382	2515
132	384	2504
133	385	2494
134	387	2482
135	389	2472
136	391	2463
137	392	2451
138	394	2441
139	395	2432
140	398	2424
141	399	2416
142	401	2406
143	403	2397
144	405	2388
145	406	2379
146	408	2369
147	410	2361
148	412	2354
149	414	2348
150	416	2339
151	417	2330
152	419	2322
153	421	2313
154	423	2307
155	425	2299
156	427	2296
157	429	2288
158	431	2280
159	432	2272
160	434	2263
161	436	2255
162	437	2248
163	439	2240
164	442	2237
165	443	2230
166	445	2222
167	447	2215
168	449	2208
169	450	2200
170	452	2193
171	454	2186
172	455	2178
173	457	2172
174	459	2166
175	461	2159
176	463	2152
177	464	2145
178	466	2139
179	468	2132
180	469	2122
181	470	2115
182	472	2109
183	474	2103
184	476	2097
185	477	2091
186	479	2085
187	481	2080
